project,mutant_id,class,method,line,mutator,description,pit_status,pit_label,pitmus_status,agreement,detail,time_seconds
commons-beanutils,0bb13e7ac12e,org.apache.commons.beanutils.LazyDynaBean,createIndexedProperty,691,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,4.17
commons-beanutils,011208496c0e,org.apache.commons.beanutils.LazyDynaBean,createIndexedProperty,700,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.67
commons-beanutils,44c88b612f81,org.apache.commons.beanutils.LazyDynaBean,createIndexedProperty,700,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,4.06
commons-beanutils,873da0ff6620,org.apache.commons.beanutils.LazyDynaBean,createIndexedProperty,695,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,6.08
commons-beanutils,8128711024ad,org.apache.commons.beanutils.PropertyUtilsBean,getMappedProperty,615,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/PropertyUtilsBean::getMappedProperty,KILLED,KILLED,KILLED,agreed,test_failure,5.87
commons-beanutils,0ef94bc38718,org.apache.commons.beanutils.PropertyUtilsBean,getMappedProperty,589,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.00
commons-beanutils,515df0db8799,org.apache.commons.beanutils.PropertyUtilsBean,getMappedProperty,592,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.07
commons-beanutils,5f3b2409ab6e,org.apache.commons.beanutils.PropertyUtilsBean,getMappedProperty,606,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,KILLED,SURVIVED,disagreed,ok,31.04
commons-beanutils,0c14d02d8fdb,org.apache.commons.beanutils.PropertyUtilsBean,getMappedProperty,606,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.02
commons-beanutils,9d39c347c9d1,org.apache.commons.beanutils.converters.ArrayConverter,parseElements,465,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.04
commons-beanutils,1bf38acc2328,org.apache.commons.beanutils.converters.ArrayConverter,parseElements,470,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.10
commons-beanutils,7fe5a958e2ef,org.apache.commons.beanutils.converters.ArrayConverter,parseElements,463,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,KILLED,KILLED,agreed,test_failure,3.35
commons-beanutils,26d966100efd,org.apache.commons.beanutils.converters.ArrayConverter,parseElements,465,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.00
